#,Title,Topic,Acceptance,Difficulty,Top Interviews,Top Liked,Solved
384,Shuffle an Array,Array,54.00%,Medium,O,,
131,Palindrome Partitioning,"DP,Backtracking,DFS",51.90%,Medium,O,,
371,Sum of Two Integers,Bit Manipulation,50.60%,Medium,O,,
36,Valid Sudoku,Hash Table,50.50%,Medium,O,,
103,Binary Tree Zigzag Level Order Traversal,"Stack,Tree,BFS",50.00%,Medium,O,,
116,Populating Next Right Pointers in Each Node,"Tree,BFS,DFS",49.00%,Medium,O,,
380,Insert Delete GetRandom O(1),"Array,Hash Table,Design",48.80%,Medium,O,,
251,Flatten 2D Vector,[Locked],46.30%,Medium,O,,
38,Count and Say,String,46.00%,Medium,O,,
340,Longest Substring with At Most K Distinct Characters,[Locked],45.40%,Medium,O,,
73,Set Matrix Zeroes,Array,44.30%,Medium,O,,
162,Find Peak Element,"Array,Binary Search",43.90%,Medium,O,,
395,Longest Substring with At Least K Repeating Characters,"Divide and Conquer,Recursion,Sliding Window",43.50%,Medium,O,,
277,Find the Celebrity,[Locked],43.40%,Medium,O,,
285,Inorder Successor in BST,[Locked],42.80%,Medium,O,,
210,Course Schedule II,"DFS,BFS,Graph,Topological Sort",42.50%,Medium,O,,
134,Gas Station,Greedy,41.20%,Medium,O,,
334,Increasing Triplet Subsequence,[None],40.70%,Medium,O,,
227,Basic Calculator II,"String,Stack",38.50%,Medium,O,,
150,Evaluate Reverse Polish Notation,Stack,37.90%,Medium,O,,
189,Rotate Array,Array,36.60%,Medium,O,,
54,Spiral Matrix,Array,35.90%,Medium,O,,
50,"Pow(x,n)","Math,Binary Search",30.90%,Medium,O,,
324,Wiggle Sort II,Sort,30.70%,Medium,O,,
179,Largest Number,Sort,30.60%,Medium,O,,
130,Surrounded Regions,"DFS,BFS,Union Find",29.30%,Medium,O,,
91,Decode Ways,"String,DP",26.50%,Medium,O,,
166,Fraction to Recurring Decimal,"Hash Table,Math",22.30%,Medium,O,,
29,Divide Two Integers,"Math,Binary Search",16.60%,Medium,O,,
8,String to Integer (atoi),"Math,String",15.60%,Medium,O,,
329,Longest Increasing Path in a Matrix,"DFS,Topological Sort,Memoization",44.80%,Hard,O,,
315,Count of Smaller Numbers After Self,"Binary Search,Divide and Conquer,Sort,Binary Indexed Tree,Segment Tree",42.50%,Hard,O,,
308,Range Sum Query 2D - Mutable,[Locked],37.50%,Hard,O,,
212,Word Search II,"Backtracking,Trie",37.00%,Hard,O,,
218,The Skyline Problem,"Divide and Conquer,Heap,Binary Indexed Tree,Segment Tree,Line Sweep",36.30%,Hard,O,,
140,Word Break II,"DP,Backtracking",34.60%,Hard,O,,
269,Alien Dictionary,[Locked],33.70%,Hard,O,,
127,Word Ladder,BFS,31.70%,Hard,O,,
44,Wildcard Matching,"String,DP,Backtracking,Greedy",25.40%,Hard,O,,
149,Max Points on a Line,"Hash Table,Math",17.40%,Hard,O,,
